"ID";"TIME";"STATUS"
"560";"2024-06-21 08:16:08";"F_OFF"
"561";"2024-06-21 08:16:15";"F_ON"
"562";"2024-06-21 08:16:21";"F_OFF"
"563";"2024-06-21 08:16:33";"F_ON"
"564";"2024-06-21 08:16:41";"F_OFF"
"565";"2024-06-21 08:16:47";"F_ON"
"566";"2024-06-21 08:16:53";"F_OFF"
"567";"2024-06-21 08:17:07";"F_ON"
"568";"2024-06-21 11:05:34";"F_OFF"
"569";"2024-06-21 11:08:34";"F_ON"
"570";"2024-06-21 11:37:14";"F_OFF"
"571";"2024-06-21 11:37:21";"F_ON"
"572";"2024-06-21 11:37:27";"F_OFF"
"573";"2024-06-21 11:40:00";"F_ON"
